15:20:06 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(0))
15:20:06 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(1))
15:20:07 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(2))
15:20:07 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(3))
15:20:07 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(4))
15:20:08 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(5))
15:20:08 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(6))
15:20:08 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(7))
15:20:09 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(8))
15:20:09 (host: shas0635, pid: 144713) matmul(matrix(0), matrix(9))
15:20:09 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(0))
15:20:09 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(1))
15:20:09 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(2))
15:20:09 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(3))
15:20:10 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(4))
15:20:10 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(5))
15:20:10 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(6))
15:20:11 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(7))
15:20:11 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(8))
15:20:11 (host: shas0635, pid: 144713) matmul(matrix(1), matrix(9))
15:20:12 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(0))
15:20:12 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(1))
15:20:12 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(2))
15:20:12 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(3))
15:20:13 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(4))
15:20:13 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(5))
15:20:13 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(6))
15:20:14 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(7))
15:20:14 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(8))
15:20:14 (host: shas0635, pid: 144713) matmul(matrix(2), matrix(9))
15:20:15 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(0))
15:20:15 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(1))
15:20:15 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(2))
15:20:16 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(3))
15:20:16 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(4))
15:20:16 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(5))
15:20:17 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(6))
15:20:17 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(7))
15:20:17 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(8))
15:20:18 (host: shas0635, pid: 144713) matmul(matrix(3), matrix(9))
15:20:18 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(0))
15:20:18 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(1))
15:20:18 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(2))
15:20:19 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(3))
15:20:19 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(4))
15:20:19 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(5))
15:20:19 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(6))
15:20:20 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(7))
15:20:20 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(8))
15:20:20 (host: shas0635, pid: 144713) matmul(matrix(4), matrix(9))
15:20:20 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(0))
15:20:21 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(1))
15:20:21 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(2))
15:20:21 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(3))
15:20:21 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(4))
15:20:22 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(5))
15:20:22 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(6))
15:20:22 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(7))
15:20:22 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(8))
15:20:23 (host: shas0635, pid: 144713) matmul(matrix(5), matrix(9))
15:20:23 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(0))
15:20:23 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(1))
15:20:24 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(2))
15:20:24 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(3))
15:20:24 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(4))
15:20:24 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(5))
15:20:25 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(6))
15:20:25 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(7))
15:20:25 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(8))
15:20:25 (host: shas0635, pid: 144713) matmul(matrix(6), matrix(9))
15:20:26 (host: shas0635, pid: 144713) matmul(matrix(7), matrix(0))
15:20:26 (host: shas0635, pid: 144713) matmul(matrix(7), matrix(1))
15:20:26 (host: shas0635, pid: 144713) matmul(matrix(7), matrix(2))
