12:50:36 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(40))
12:50:37 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(41))
12:50:37 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(42))
12:50:37 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(43))
12:50:38 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(44))
12:50:40 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(45))
12:50:41 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(46))
12:50:41 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(47))
12:50:42 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(48))
12:50:42 (host: shas0205, pid: 132524) matmul(matrix(40), matrix(49))
12:50:43 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(40))
12:50:44 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(41))
12:50:44 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(42))
12:50:45 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(43))
12:50:45 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(44))
12:50:46 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(45))
12:50:46 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(46))
12:50:47 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(47))
12:50:47 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(48))
12:50:48 (host: shas0205, pid: 132524) matmul(matrix(41), matrix(49))
12:50:48 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(40))
12:50:49 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(41))
12:50:49 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(42))
12:50:50 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(43))
12:50:51 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(44))
12:50:51 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(45))
12:50:52 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(46))
12:50:52 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(47))
12:50:53 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(48))
12:50:54 (host: shas0205, pid: 132524) matmul(matrix(42), matrix(49))
12:50:54 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(40))
12:50:55 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(41))
12:50:56 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(42))
12:50:56 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(43))
12:50:56 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(44))
12:50:57 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(45))
12:50:57 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(46))
12:50:57 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(47))
12:50:58 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(48))
12:50:58 (host: shas0205, pid: 132524) matmul(matrix(43), matrix(49))
12:50:58 (host: shas0205, pid: 132524) matmul(matrix(44), matrix(40))
12:50:58 (host: shas0205, pid: 132524) matmul(matrix(44), matrix(41))
12:50:59 (host: shas0205, pid: 132524) matmul(matrix(44), matrix(42))
12:51:00 (host: shas0205, pid: 132524) matmul(matrix(44), matrix(43))
12:51:00 (host: shas0205, pid: 132524) matmul(matrix(44), matrix(44))
12:51:00 (host: shas0205, pid: 132524) matmul(matrix(44), matrix(45))
