15:19:30 (host: shas0139, pid: 82310) matmul(matrix(38), matrix(34))
15:19:31 (host: shas0139, pid: 82310) matmul(matrix(38), matrix(35))
15:19:31 (host: shas0139, pid: 82310) matmul(matrix(38), matrix(36))
15:19:31 (host: shas0139, pid: 82310) matmul(matrix(38), matrix(37))
15:19:32 (host: shas0139, pid: 82310) matmul(matrix(38), matrix(38))
15:19:32 (host: shas0139, pid: 82310) matmul(matrix(38), matrix(39))
15:19:32 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(30))
15:19:32 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(31))
15:19:32 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(32))
15:19:33 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(33))
15:19:33 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(34))
15:19:33 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(35))
15:19:33 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(36))
15:19:33 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(37))
15:19:34 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(38))
15:19:34 (host: shas0139, pid: 82310) matmul(matrix(39), matrix(39))
15:19:09 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(80))
15:19:10 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(81))
15:19:10 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(82))
15:19:10 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(83))
15:19:10 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(84))
15:19:11 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(85))
15:19:11 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(86))
15:19:11 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(87))
15:19:11 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(88))
15:19:12 (host: shas0139, pid: 82326) matmul(matrix(80), matrix(89))
15:19:12 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(80))
15:19:12 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(81))
15:19:13 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(82))
15:19:13 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(83))
15:19:13 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(84))
15:19:13 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(85))
15:19:14 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(86))
15:19:14 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(87))
15:19:14 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(88))
15:19:15 (host: shas0139, pid: 82326) matmul(matrix(81), matrix(89))
15:19:15 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(80))
15:19:15 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(81))
15:19:15 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(82))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(83))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(84))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(85))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(86))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(87))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(88))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(82), matrix(89))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(80))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(81))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(82))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(83))
15:19:16 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(84))
15:19:17 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(85))
15:19:17 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(86))
15:19:18 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(87))
15:19:18 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(88))
15:19:18 (host: shas0139, pid: 82326) matmul(matrix(83), matrix(89))
15:19:18 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(80))
15:19:19 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(81))
15:19:19 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(82))
15:19:19 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(83))
15:19:20 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(84))
15:19:20 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(85))
15:19:20 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(86))
15:19:21 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(87))
15:19:21 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(88))
15:19:21 (host: shas0139, pid: 82326) matmul(matrix(84), matrix(89))
15:19:21 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(80))
15:19:22 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(81))
15:19:22 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(82))
15:19:22 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(83))
15:19:23 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(84))
15:19:23 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(85))
15:19:23 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(86))
15:19:24 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(87))
15:19:24 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(88))
15:19:24 (host: shas0139, pid: 82326) matmul(matrix(85), matrix(89))
15:19:24 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(80))
15:19:25 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(81))
15:19:25 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(82))
15:19:25 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(83))
15:19:25 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(84))
15:19:26 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(85))
15:19:26 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(86))
15:19:27 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(87))
15:19:27 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(88))
15:19:27 (host: shas0139, pid: 82326) matmul(matrix(86), matrix(89))
15:19:28 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(80))
15:19:28 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(81))
15:19:28 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(82))
15:19:29 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(83))
15:19:29 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(84))
15:19:29 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(85))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(86))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(87))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(88))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(87), matrix(89))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(80))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(81))
15:19:30 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(82))
15:19:31 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(83))
15:19:31 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(84))
15:19:31 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(85))
15:19:31 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(86))
15:19:31 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(87))
15:19:31 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(88))
15:19:32 (host: shas0139, pid: 82326) matmul(matrix(88), matrix(89))
15:19:32 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(80))
15:19:32 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(81))
15:19:33 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(82))
15:19:33 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(83))
15:19:33 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(84))
15:19:34 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(85))
15:19:34 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(86))
15:19:34 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(87))
15:19:34 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(88))
15:19:35 (host: shas0139, pid: 82326) matmul(matrix(89), matrix(89))
15:19:09 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(50))
15:19:10 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(51))
15:19:10 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(52))
15:19:10 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(53))
15:19:10 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(54))
15:19:11 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(55))
15:19:11 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(56))
15:19:11 (host: shas0139, pid: 82316) matmul(matrix(50), matrix(57))
